Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Industry,Business Description,Company Website,Entrepreneur Names,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Loan,Deal Has Conditions,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Mentoring,Invested Shark Names
1,Moradigna,16,66,10-Oct-2016,26-Jan-2017,26-Jan-2017,Lifestyle/Home,"business that provides fast, low-cost home renovations",,,300000,10,3000000,1,200000,15.0,1333333,yes,,5,40000,3,,"João Appolinário, Cristiana Arcangeli, Robinson Shiba, Sorocaba, Camila Farani"
2,OPedido,1,67,22-Jun-2017,14-Sep-2017,22-Jun-2017,Food and Beverage,digital platform for bars and restaurants,,,300000,20,1500000,1,300000,15,2000000,,,1,300000,15,,João Appolinário
2,Cartone,1,68,22-Jun-2017,14-Sep-2017,22-Jun-2017,Lifestyle/Home,"Furniture, houses, and blocks/toys made from recycled cardboard",,,300000,20,1500000,1,200000,20,1000000,,,1,200000,20,,Camila Farani
2,AlfaLook's,1,69,22-Jun-2017,14-Sep-2017,22-Jun-2017,Beauty/Fashion,Products and cosmetics for the barbershop sector,,,5,30,17,0,,,,,,,,,,
2,GreenPallets,2,70,22-Jun-2017,14-Sep-2017,29-Jun-2017,,,,,150000,10,1500000,0,,,,,,,,,,
2,CannoliDoCalimano,2,71,22-Jun-2017,14-Sep-2017,29-Jun-2017,,,,,150000,30,500000,0,,,,,,,,,,
2,CatMyPet,2,72,22-Jun-2017,14-Sep-2017,29-Jun-2017,Pet Products,GPS tracker for pets,,,400000,15,2666667,1,200000,25.0,800000,,,1,200000,25,,Cristiana Arcangeli
2,Robotron,2,73,22-Jun-2017,14-Sep-2017,29-Jun-2017,Technology/Software,solutions for the Internet of Things (IoT),,,330000,25,1320000,1,300000,15.0,2000000,,yes,1,300000,15,,Rodrigo Loures
2,Badabada,3,74,22-Jun-2017,14-Sep-2017,6-Jul-2017,,,,,,,,0,,,,,,,,,,
2,GoTube,3,75,22-Jun-2017,14-Sep-2017,6-Jul-2017,Beauty/Fashion,"reusable, flexible, and collapsible silicone tube designed for packing toiletries",,,,,,1,150000,30.0,500000,,,1,150000,30,,Cristiana Arcangeli
2,Z360,3,76,22-Jun-2017,14-Sep-2017,6-Jul-2017,Technology/Software,"creating, publishing, and distributing 360-degree and virtual reality",,,,,,1,500000,20.0,2500000,,,5,100000,4,,"João Appolinário, Cristiana Arcangeli, Robinson Shiba, Sorocaba, Camila Farani"
2,FlexInterativa,3,77,22-Jun-2017,14-Sep-2017,6-Jul-2017,,,,,,,,0,,,,,,,,,,
2,LysaCão-GuiaRobô,4,78,22-Jun-2017,14-Sep-2017,13-Jul-2017,Technology/Software,robotic device designed to assist visually impaired people,,,,,,1,500000,30.0,1666667,,,5,100000,6,,"João Appolinário, Cristiana Arcangeli, Robinson Shiba, Sorocaba, Camila Farani"
2,CarneNaLata,4,79,22-Jun-2017,14-Sep-2017,13-Jul-2017,,,,,,,,0,,,,,,,,,,
2,RedFeather,4,80,22-Jun-2017,14-Sep-2017,13-Jul-2017,Food and Beverage,"premium, canned fish products",,,,,,1,200000,25,800000,,,1,200000,25,,João Appolinário
2,JohnnyMotorcycles,4,81,22-Jun-2017,14-Sep-2017,13-Jul-2017,,,,,,,,0,,,,,,,,,,
2,Leaf,5,82,22-Jun-2017,14-Sep-2017,20-Jul-2017,,,,,,,,0,,,,,,,,,,
2,ErikaBronze,5,83,22-Jun-2017,14-Sep-2017,20-Jul-2017,Beauty/Fashion,"subscription box and e-commerce brand for high-quality, professional tanning",,,,,,1,150000,20,750000,,,1,150000,20,,Camila Farani
2,Syanz,5,84,22-Jun-2017,14-Sep-2017,20-Jul-2017,,,,,,,,0,,,,,,,,,,
