Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Industry,Business Description,Company Website,Entrepreneur Names,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Loan,Deal Has Conditions,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Mentoring,Invested Shark Names
4,BanheirodeBolso,11,222,28-Jun-2019,18-Oct-2019,6-Sep-2019,,,,,,,,,,,,,,,,,,
4,VictorHugoMattos,11,223,28-Jun-2019,18-Oct-2019,6-Sep-2019,,,,,,,,,,,,,,,,,,
4,Numenu,11,224,28-Jun-2019,18-Oct-2019,6-Sep-2019,,,,,,,,,,,,,,,,,,
4,KMOnline,11,225,28-Jun-2019,18-Oct-2019,6-Sep-2019,,,,,,,,,,,,,,,,,,
4,KLSSafeSurf,12,226,28-Jun-2019,18-Oct-2019,13-Sep-2019,,,,,,,,,,,,,,,,,,
4,Soriedem,12,227,28-Jun-2019,18-Oct-2019,13-Sep-2019,,,,,,,,,,,,,,,,,,
4,Troppo,12,228,28-Jun-2019,18-Oct-2019,13-Sep-2019,,,,,,,,,,,,,,,,,,
4,PhastApp,12,229,28-Jun-2019,18-Oct-2019,13-Sep-2019,,,,,,,,,,,,,,,,,,
4,HUG,13,230,28-Jun-2019,18-Oct-2019,20-Sep-2019,,,,,,,,,,,,,,,,,,
4,Autenticco,13,231,28-Jun-2019,18-Oct-2019,20-Sep-2019,,,,,,,,,,,,,,,,,,
4,CasaOrgânica,13,232,28-Jun-2019,18-Oct-2019,20-Sep-2019,,,,,,,,,,,,,,,,,,
4,Ezok,13,233,28-Jun-2019,18-Oct-2019,20-Sep-2019,,,,,,,,,,,,,,,,,,
4,FluxAir,14,234,28-Jun-2019,18-Oct-2019,27-Sep-2019,,,,,,,,,,,,,,,,,,
4,JapaVegana,14,235,28-Jun-2019,18-Oct-2019,27-Sep-2019,,,,,,,,,,,,,,,,,,
4,RudeGear,14,236,28-Jun-2019,18-Oct-2019,27-Sep-2019,,,,,,,,,,,,,,,,,,
4,PickupComfort,14,237,28-Jun-2019,18-Oct-2019,27-Sep-2019,,,,,,,,,,,,,,,,,,
4,FichipsFood,15,238,28-Jun-2019,18-Oct-2019,4-Oct-2019,,,,,,,,,,,,,,,,,,
4,B.live,15,239,28-Jun-2019,18-Oct-2019,4-Oct-2019,,,,,,,,,,,,,,,,,,
4,SestiniCare,15,240,28-Jun-2019,18-Oct-2019,4-Oct-2019,,,,,,,,,,,,,,,,,,
4,LaPimi.CarMakeUp,15,241,28-Jun-2019,18-Oct-2019,4-Oct-2019,Food and Beverage,Condiments,,,,,,,,,,,,,,,,
4,DogBeer,16,242,28-Jun-2019,18-Oct-2019,11-Oct-2019,,,,,,,,,,,,,,,,,,
4,DeBenguela,16,243,28-Jun-2019,18-Oct-2019,11-Oct-2019,,,,,,,,,,,,,,,,,,
4,EletroPay,16,244,28-Jun-2019,18-Oct-2019,11-Oct-2019,,,,,,,,,,,,,,,,,,
4,ParmAlimentos,16,245,28-Jun-2019,18-Oct-2019,11-Oct-2019,,,,,,,,,,,,,,,,,,
4,Visto.bio,17,246,28-Jun-2019,18-Oct-2019,18-Oct-2019,Green/CleanTech,Biodegradable plastic,,,,,,,,,,,,,,,,
4,CycorCibernética,17,247,28-Jun-2019,18-Oct-2019,18-Oct-2019,,,,,,,,,,,,,,,,,,
4,FazendaRentável,17,248,28-Jun-2019,18-Oct-2019,18-Oct-2019,,,,,,,,,,,,,,,,,,
5,Wakanda,1,249,20-Nov-2020,26-Feb-2021,20-Nov-2020,,,,,,,,,,,,,,,,,,
5,FutmesaBrasil,1,250,20-Nov-2020,26-Feb-2021,20-Nov-2020,,,,,,,,,,,,,,,,,,
5,IceCup,1,251,20-Nov-2020,26-Feb-2021,20-Nov-2020,,,,,,,,,,,,,,,,,,
5,MalokeroBurger,1,252,20-Nov-2020,26-Feb-2021,20-Nov-2020,,,,,,,,,,,,,,,,,,
5,LojadoCuteleiro,2,253,20-Nov-2020,26-Feb-2021,27-Nov-2020,,,,,,,,,,,,,,,,,,
5,#deixaelatreinar,2,254,20-Nov-2020,26-Feb-2021,27-Nov-2020,,,,,,,,,,,,,,,,,,
5,E-Motors,2,255,20-Nov-2020,26-Feb-2021,27-Nov-2020,,,,,,,,,,,,,,,,,,
5,Duolibras,2,256,20-Nov-2020,26-Feb-2021,27-Nov-2020,,,,,,,,,,,,,,,,,,
5,Florent,3,257,20-Nov-2020,26-Feb-2021,4-Dec-2020,,,,,,,,,,,,,,,,,,
5,Sonder,3,258,20-Nov-2020,26-Feb-2021,4-Dec-2020,,,,,,,,,,,,,,,,,,
5,Amostrix,3,259,20-Nov-2020,26-Feb-2021,4-Dec-2020,,,,,,,,,,,,,,,,,,
5,Ecooler,3,260,20-Nov-2020,26-Feb-2021,4-Dec-2020,,,,,,,,,,,,,,,,,,
5,TapeteAntivírus,4,261,20-Nov-2020,26-Feb-2021,11-Dec-2020,,,,,,,,,,,,,,,,,,
5,2FWIndústria,4,262,20-Nov-2020,26-Feb-2021,11-Dec-2020,,,,,,,,,,,,,,,,,,
5,DivasBllack,4,263,20-Nov-2020,26-Feb-2021,11-Dec-2020,,,,,,,,,,,,,,,,,,
5,EqualModaInclusiva,4,264,20-Nov-2020,26-Feb-2021,11-Dec-2020,,,,,,,,,,,,,,,,,,
5,ImpériodoPiolho,5,265,20-Nov-2020,26-Feb-2021,18-Dec-2020,,,,,,,,,,,,,,,,,,
5,RubberBrasil,5,266,20-Nov-2020,26-Feb-2021,18-Dec-2020,,,,,,,,,,,,,,,,,,
5,ClubinhoPreto,5,267,20-Nov-2020,26-Feb-2021,18-Dec-2020,,,,,,,,,,,,,,,,,,
5,RecupeHair,5,268,20-Nov-2020,26-Feb-2021,18-Dec-2020,,,,,,,,,,,,,,,,,,
5,IdentityTravel,6,269,20-Nov-2020,26-Feb-2021,15-Jan-2021,,,,,,,,,,,,,,,,,,
5,ChurrasDelas,6,270,20-Nov-2020,26-Feb-2021,15-Jan-2021,,,,,,,,,,,,,,,,,,
5,SmartGaas,6,271,20-Nov-2020,26-Feb-2021,15-Jan-2021,,,,,,,,,,,,,,,,,,
5,Amyi,6,272,20-Nov-2020,26-Feb-2021,15-Jan-2021,,,,,,,,,,,,,,,,,,
5,PLT4Way,7,273,20-Nov-2020,26-Feb-2021,22-Jan-2021,,,,,,,,,,,,,,,,,,
5,Grood.me,7,274,20-Nov-2020,26-Feb-2021,22-Jan-2021,,,,,,,,,,,,,,,,,,
5,Peçaneta,7,275,20-Nov-2020,26-Feb-2021,22-Jan-2021,,,,,,,,,,,,,,,,,,
5,Aneesa,7,276,20-Nov-2020,26-Feb-2021,22-Jan-2021,,,,,,,,,,,,,,,,,,
5,Badalacão,8,277,20-Nov-2020,26-Feb-2021,29-Jan-2021,,,,,,,,,,,,,,,,,,
5,NJ7Fertilizantes,8,278,20-Nov-2020,26-Feb-2021,29-Jan-2021,,,,,,,,,,,,,,,,,,
5,Sussurra,8,279,20-Nov-2020,26-Feb-2021,29-Jan-2021,,,,,,,,,,,,,,,,,,
5,Polentake,8,280,20-Nov-2020,26-Feb-2021,29-Jan-2021,,,,,,,,,,,,,,,,,,
5,Empreendedor4.0,9,281,20-Nov-2020,26-Feb-2021,5-Feb-2021,,,,,,,,,,,,,,,,,,
5,Avesso,9,282,20-Nov-2020,26-Feb-2021,5-Feb-2021,,,,,,,,,,,,,,,,,,
5,Advys,9,283,20-Nov-2020,26-Feb-2021,5-Feb-2021,,,,,,,,,,,,,,,,,,
5,SmartRoad,9,284,20-Nov-2020,26-Feb-2021,5-Feb-2021,,,,,,,,,,,,,,,,,,
5,Lab77,10,285,20-Nov-2020,26-Feb-2021,12-Feb-2021,,,,,,,,,,,,,,,,,,
5,Dionisio.Ag,10,286,20-Nov-2020,26-Feb-2021,12-Feb-2021,,,,,,,,,,,,,,,,,,
5,PitGrooming,10,287,20-Nov-2020,26-Feb-2021,12-Feb-2021,,,,,,,,,,,,,,,,,,
5,Styme,10,288,20-Nov-2020,26-Feb-2021,12-Feb-2021,,,,,,,,,,,,,,,,,,
5,GameJam+,11,289,20-Nov-2020,26-Feb-2021,19-Feb-2021,,,,,,,,,,,,,,,,,,
5,SóSnacks,11,290,20-Nov-2020,26-Feb-2021,19-Feb-2021,,,,,,,,,,,,,,,,,,
5,Sedduzy,11,291,20-Nov-2020,26-Feb-2021,19-Feb-2021,,,,,,,,,,,,,,,,,,
5,MeuDentistaemCasa,11,292,20-Nov-2020,26-Feb-2021,19-Feb-2021,,,,,,,,,,,,,,,,,,
5,Bionicook,12,293,20-Nov-2020,26-Feb-2021,26-Feb-2021,,,,,,,,,,,,,,,,,,
5,Egalitê,12,294,20-Nov-2020,26-Feb-2021,26-Feb-2021,,,,,,,,,,,,,,,,,,
5,DoceriaDonaTereza,12,295,20-Nov-2020,26-Feb-2021,26-Feb-2021,,,,,,,,,,,,,,,,,,
5,Nanoprice,12,296,20-Nov-2020,26-Feb-2021,26-Feb-2021,,,,,,,,,,,,,,,,,,
5,TintasDecorativas,,297,20-Nov-2020,26-Feb-2021,,Lifestyle/Home,Decor paints,,,,,,,,,,,,,,,,
6,GatoCafé,1,298,24-Sep-2021,17-Dec-2021,24-Sep-2021,,,,,,,,,,,,,,,,,,
6,NetWordAgro,1,299,24-Sep-2021,17-Dec-2021,24-Sep-2021,,,,,,,,,,,,,,,,,,
6,GG.rie,1,300,24-Sep-2021,17-Dec-2021,24-Sep-2021,,,,,,,,,,,,,,,,,,
6,Migs,1,301,24-Sep-2021,17-Dec-2021,24-Sep-2021,,,,,,,,,,,,,,,,,,
6,DueLaser,2,302,24-Sep-2021,17-Dec-2021,1-Oct-2021,,,,,,,,,,,,,,,,,,
6,DecorColors,2,303,24-Sep-2021,17-Dec-2021,1-Oct-2021,,,,,,,,,,,,,,,,,,
6,BabyConcierge,2,304,24-Sep-2021,17-Dec-2021,1-Oct-2021,,,,,,,,,,,,,,,,,,
6,BentôKids,2,305,24-Sep-2021,17-Dec-2021,1-Oct-2021,,,,,,,,,,,,,,,,,,
6,LiveEquipamentos,3,306,24-Sep-2021,17-Dec-2021,8-Oct-2021,,,,,,,,,,,,,,,,,,
6,Chameleon,3,307,24-Sep-2021,17-Dec-2021,8-Oct-2021,,,,,,,,,,,,,,,,,,
6,PataFix,3,308,24-Sep-2021,17-Dec-2021,8-Oct-2021,,,,,,,,,,,,,,,,,,
6,BordaELenha,3,309,24-Sep-2021,17-Dec-2021,8-Oct-2021,Food and Beverage,Pizza Franchise,,,300000,20,1500000,1,300000,50.0,600000,,,2,150000,25,,"José Carlos Semenzato, Felipe Titto"
6,ObjetosDeCoração,4,310,24-Sep-2021,17-Dec-2021,15-Oct-2021,,,,,,,,,,,,,,,,,,
6,TubarãoMartelo,4,311,24-Sep-2021,17-Dec-2021,15-Oct-2021,,,,,,,,,,,,,,,,,,
6,BitsAcademy,4,312,24-Sep-2021,17-Dec-2021,15-Oct-2021,,,,,,,,,,,,,,,,,,
6,UmBomApp,4,313,24-Sep-2021,17-Dec-2021,15-Oct-2021,,,,,,,,,,,,,,,,,,
6,SiestaBox,5,314,24-Sep-2021,17-Dec-2021,22-Oct-2021,,,,,,,,,,,,,,,,,,
6,BlackPurpurinModa3D,5,315,24-Sep-2021,17-Dec-2021,22-Oct-2021,,,,,,,,,,,,,,,,,,
6,Piquealto,5,316,24-Sep-2021,17-Dec-2021,22-Oct-2021,,,,,,,,,,,,,,,,,,
6,SophieSensualFeelings,5,317,24-Sep-2021,17-Dec-2021,22-Oct-2021,,,,,,,,,,,,,,,,,,
6,MartelloEducaçãoFinanceira,6,318,24-Sep-2021,17-Dec-2021,29-Oct-2021,,,,,,,,,,,,,,,,,,
6,HubHomeBox,6,319,24-Sep-2021,17-Dec-2021,29-Oct-2021,,,,,,,,,,,,,,,,,,
6,VestidasDeBranco,6,320,24-Sep-2021,17-Dec-2021,29-Oct-2021,,,,,,,,,,,,,,,,,,
6,FitAnywhere,6,321,24-Sep-2021,17-Dec-2021,29-Oct-2021,,,,,,,,,,,,,,,,,,
6,FilmaEu,7,322,24-Sep-2021,17-Dec-2021,5-Nov-2021,,,,,,,,,,,,,,,,,,
6,Helpbox.care,7,323,24-Sep-2021,17-Dec-2021,5-Nov-2021,,,,,,,,,,,,,,,,,,
6,ViaVoiceForFashion,7,324,24-Sep-2021,17-Dec-2021,5-Nov-2021,,,,,,,,,,,,,,,,,,
6,Fertili,7,325,24-Sep-2021,17-Dec-2021,5-Nov-2021,,,,,,,,,,,,,,,,,,
6,MiniOrbe,8,326,24-Sep-2021,17-Dec-2021,12-Nov-2021,,,,,,,,,,,,,,,,,,
6,TricotGigante,8,327,24-Sep-2021,17-Dec-2021,12-Nov-2021,,,,,,,,,,,,,,,,,,
6,BrainstormAcademy,8,328,24-Sep-2021,17-Dec-2021,12-Nov-2021,,,,,,,,,,,,,,,,,,
6,Sharazad,8,329,24-Sep-2021,17-Dec-2021,12-Nov-2021,,,,,,,,,,,,,,,,,,
6,KidsBilíngue,9,330,24-Sep-2021,17-Dec-2021,19-Nov-2021,,,,,,,,,,,,,,,,,,
6,Lilu,9,331,24-Sep-2021,17-Dec-2021,19-Nov-2021,,,,,,,,,,,,,,,,,,
6,Trend2box,9,332,24-Sep-2021,17-Dec-2021,19-Nov-2021,,,,,,,,,,,,,,,,,,
6,AfroAcademy,9,333,24-Sep-2021,17-Dec-2021,19-Nov-2021,,,,,,,,,,,,,,,,,,
6,NuvemVassouras,10,334,24-Sep-2021,17-Dec-2021,26-Nov-2021,,,,,,,,,,,,,,,,,,
6,FungoDeQuintal,10,335,24-Sep-2021,17-Dec-2021,26-Nov-2021,,,,,,,,,,,,,,,,,,
6,AfraDesign,10,336,24-Sep-2021,17-Dec-2021,26-Nov-2021,,,,,,,,,,,,,,,,,,
6,Guug,10,337,24-Sep-2021,17-Dec-2021,26-Nov-2021,,,,,,,,,,,,,,,,,,
6,CasusGrill,11,338,24-Sep-2021,17-Dec-2021,3-Dec-2021,,,,,,,,,,,,,,,,,,
6,Holobox,11,339,24-Sep-2021,17-Dec-2021,3-Dec-2021,,,,,,,,,,,,,,,,,,
6,Omens,11,340,24-Sep-2021,17-Dec-2021,3-Dec-2021,,,,,,,,,,,,,,,,,,
6,Helpvino,11,341,24-Sep-2021,17-Dec-2021,3-Dec-2021,,,,,,,,,,,,,,,,,,
6,MonPetitChéri,12,342,24-Sep-2021,17-Dec-2021,10-Dec-2021,,,,,,,,,,,,,,,,,,
6,Ecomilhas,12,343,24-Sep-2021,17-Dec-2021,10-Dec-2021,,,,,,,,,,,,,,,,,,
6,TotiDiversidade,12,344,24-Sep-2021,17-Dec-2021,10-Dec-2021,,,,,,,,,,,,,,,,,,
6,E-Senses,12,345,24-Sep-2021,17-Dec-2021,10-Dec-2021,,,,,,,,,,,,,,,,,,
6,PrintFoods,13,346,24-Sep-2021,17-Dec-2021,17-Dec-2021,,,,,,,,,,,,,,,,,,
6,OkaColiving,13,347,24-Sep-2021,17-Dec-2021,17-Dec-2021,,,,,,,,,,,,,,,,,,
6,Maré,13,348,24-Sep-2021,17-Dec-2021,17-Dec-2021,,,,,,,,,,,,,,,,,,
6,Smartmidia,13,349,24-Sep-2021,17-Dec-2021,17-Dec-2021,,,,,,,,,,,,,,,,,,
6,FlowGames,,350,24-Sep-2021,17-Dec-2021,,Technology/Software,Game Studio,,,300000,15,2000000,1,300000,30.0,1000000,,,2,150000,15,,"Camila Farani, Carol Paiffer"
7,Petcoaching,1,351,25-Aug-2022,17-Nov-2022,25-Aug-2022,Pet Products,,,,,,,,,,,,,,,,,
7,ImmoInvest,1,352,25-Aug-2022,17-Nov-2022,25-Aug-2022,,,,,,,,,,,,,,,,,,
7,DressAll,1,353,25-Aug-2022,17-Nov-2022,25-Aug-2022,Beauty/Fashion,Rental Platform,,,10000000,10,100000000,0,,,,,,,,,,
7,LaGanexa,1,354,25-Aug-2022,17-Nov-2022,25-Aug-2022,,,,,,,,,,,,,,,,,,
7,Ioupie,2,355,25-Aug-2022,17-Nov-2022,1-Sep-2022,,,,,,,,,,,,,,,,,,
7,Mosque,2,356,25-Aug-2022,17-Nov-2022,1-Sep-2022,,,,,,,,,,,,,,,,,,
7,Fabapp,2,357,25-Aug-2022,17-Nov-2022,1-Sep-2022,,,,,,,,,,,,,,,,,,
7,RelevoStore,2,358,25-Aug-2022,17-Nov-2022,1-Sep-2022,,,,,,,,,,,,,,,,,,
7,Tá,3,359,25-Aug-2022,17-Nov-2022,8-Sep-2022,,,,,,,,,,,,,,,,,,
7,Querida!,3,360,25-Aug-2022,17-Nov-2022,8-Sep-2022,,,,,,,,,,,,,,,,,,
7,AngíChocolates,3,361,25-Aug-2022,17-Nov-2022,8-Sep-2022,,,,,,,,,,,,,,,,,,
7,Plantô,3,362,25-Aug-2022,17-Nov-2022,8-Sep-2022,,,,,,,,,,,,,,,,,,
7,Teia,3,363,25-Aug-2022,17-Nov-2022,8-Sep-2022,,,,,,,,,,,,,,,,,,
7,Brazilicious,4,364,25-Aug-2022,17-Nov-2022,15-Sep-2022,,,,,,,,,,,,,,,,,,
7,BenDog,4,365,25-Aug-2022,17-Nov-2022,15-Sep-2022,,,,,,,,,,,,,,,,,,
7,Xibata16,4,366,25-Aug-2022,17-Nov-2022,15-Sep-2022,,,,,,,,,,,,,,,,,,
7,AMDModaFeminina,4,367,25-Aug-2022,17-Nov-2022,15-Sep-2022,,,,,,,,,,,,,,,,,,
7,InterAtivaViagens,5,368,25-Aug-2022,17-Nov-2022,22-Sep-2022,,,,,,,,,,,,,,,,,,
7,BarberStore,5,369,25-Aug-2022,17-Nov-2022,22-Sep-2022,,,,,,,,,,,,,,,,,,
7,PdalBikeIndoor,5,370,25-Aug-2022,17-Nov-2022,22-Sep-2022,,,,,,,,,,,,,,,,,,
7,E!EletrosInteligentes,5,371,25-Aug-2022,17-Nov-2022,22-Sep-2022,,,,,,,,,,,,,,,,,,
7,Desembala,6,372,25-Aug-2022,17-Nov-2022,29-Sep-2022,,,,,,,,,,,,,,,,,,
7,MiniDonuts,6,373,25-Aug-2022,17-Nov-2022,29-Sep-2022,,,,,,,,,,,,,,,,,,
7,CresceVendas,6,374,25-Aug-2022,17-Nov-2022,29-Sep-2022,,,,,,,,,,,,,,,,,,
7,DecotadoStore,6,375,25-Aug-2022,17-Nov-2022,29-Sep-2022,,,,,,,,,,,,,,,,,,
7,RAS,7,376,25-Aug-2022,17-Nov-2022,6-Oct-2022,,,,,,,,,,,,,,,,,,
7,StudioOlimpicShape,7,377,25-Aug-2022,17-Nov-2022,6-Oct-2022,,,,,,,,,,,,,,,,,,
7,TimetoPlaySchool,7,378,25-Aug-2022,17-Nov-2022,6-Oct-2022,,,,,,,,,,,,,,,,,,
7,BlendEdu,7,379,25-Aug-2022,17-Nov-2022,6-Oct-2022,,,,,,,,,,,,,,,,,,
7,ArizonaBarbecue,8,380,25-Aug-2022,17-Nov-2022,13-Oct-2022,,,,,,,,,,,,,,,,,,
7,Mush,8,381,25-Aug-2022,17-Nov-2022,13-Oct-2022,,,,,,,,,,,,,,,,,,
7,KitboxClub,8,382,25-Aug-2022,17-Nov-2022,13-Oct-2022,,,,,,,,,,,,,,,,,,
7,JaciNatural,8,383,25-Aug-2022,17-Nov-2022,13-Oct-2022,,,,,,,,,,,,,,,,,,
7,iDelas,9,384,25-Aug-2022,17-Nov-2022,20-Oct-2022,,,,,,,,,,,,,,,,,,
7,TapiocaExtreme,9,385,25-Aug-2022,17-Nov-2022,20-Oct-2022,,,,,,,,,,,,,,,,,,
7,e-AmbientalResíduos,9,386,25-Aug-2022,17-Nov-2022,20-Oct-2022,,,,,,,,,,,,,,,,,,
7,Nezti,9,387,25-Aug-2022,17-Nov-2022,20-Oct-2022,,,,,,,,,,,,,,,,,,
7,ThomasBeauty,10,388,25-Aug-2022,17-Nov-2022,27-Oct-2022,,,,,,,,,,,,,,,,,,
7,DestineJá,10,389,25-Aug-2022,17-Nov-2022,27-Oct-2022,,,,,,,,,,,,,,,,,,
7,AmazôniaSmartFood,10,390,25-Aug-2022,17-Nov-2022,27-Oct-2022,,,,,,,,,,,,,,,,,,
7,TuaqIce,10,391,25-Aug-2022,17-Nov-2022,27-Oct-2022,,,,,,,,,,,,,,,,,,
7,CervejaMacuco,11,392,25-Aug-2022,17-Nov-2022,3-Nov-2022,,,,,,,,,,,,,,,,,,
7,B.Craftsman,11,393,25-Aug-2022,17-Nov-2022,3-Nov-2022,Lifestyle/Home,Photography Accessories,,,500000,10,5000000,1,500000,20.0,2500000,,,2,250000,10,,"Camila Farani, João Appolinário"
7,Kos,11,394,25-Aug-2022,17-Nov-2022,3-Nov-2022,,,,,,,,,,,,,,,,,,
7,InvestidordeVerdade,11,395,25-Aug-2022,17-Nov-2022,3-Nov-2022,,,,,,,,,,,,,,,,,,
7,EuVistooBem,12,396,25-Aug-2022,17-Nov-2022,10-Nov-2022,,,,,,,,,,,,,,,,,,
7,ComfortAligner,12,397,25-Aug-2022,17-Nov-2022,10-Nov-2022,,,,,,,,,,,,,,,,,,
7,SaúdaAcessóriosAfro,12,398,25-Aug-2022,17-Nov-2022,10-Nov-2022,,,,,,,,,,,,,,,,,,
7,YogacomHistórias,12,399,25-Aug-2022,17-Nov-2022,10-Nov-2022,,,,,,,,,,,,,,,,,,
7,TieClip,13,400,25-Aug-2022,17-Nov-2022,17-Nov-2022,,,,,,,,,,,,,,,,,,
7,Ferdof,13,401,25-Aug-2022,17-Nov-2022,17-Nov-2022,,,,,,,,,,,,,,,,,,
7,Toutsie,13,402,25-Aug-2022,17-Nov-2022,17-Nov-2022,,,,,,,,,,,,,,,,,,
7,WRent,13,403,25-Aug-2022,17-Nov-2022,17-Nov-2022,,,,,,,,,,,,,,,,,,
7,Credere,,404,25-Aug-2022,17-Nov-2022,,Automotive/Vehicles,Vehicle financing,,,500000,10,5000000,1,500000,20.0,2500000,,,3,166666.67,6.67,,"José Carlos Semenzato, Caito Maia, João Appolinário"
8,AçaíRude,1,405,3-Oct-2023,12-Dec-2023,3-Oct-2023,Food and Beverage,ready-to-eat açaí mixes premium açaí with martial arts culture,,,,,,1,150000,15.0,1000000,,,1,150000.00,15.00,,Luiza Trajano
8,PiscinApp,1,406,3-Oct-2023,12-Dec-2023,3-Oct-2023,Fitness/Sports/Outdoors,AI to recommend the correct amount of chemicals for pool maintenance,,,,,,1,400000,60.0,666667,,,3,133333.33,20.00,,"Carol Paiffer, Joel Jota, João Appolinário"
8,FamíliadeRua,1,407,3-Oct-2023,12-Dec-2023,3-Oct-2023,Food and Beverage,hot sauces and condiments social impact stories of a street-dwelling family,,,,,,1,200000,20.0,1000000,,,2,100000.00,10.00,,"Luiza Trajano, Camila Farani"
8,Cenoradas,1,408,3-Oct-2023,12-Dec-2023,3-Oct-2023,Food and Beverage,bakery startup specializing in carrot cakes,,,,,,0,,,,,,,,,,
8,Dr.MepTelemedicinaVeterinária,2,409,3-Oct-2023,12-Dec-2023,10-Oct-2023,Health/Wellness,Tech solution for remote veterinary consultations,,,,,,1,150000,10.0,1500000,,,1,150000.00,10.00,,Rodrigo Macedo
8,TotalBeachTennis,2,410,3-Oct-2023,12-Dec-2023,10-Oct-2023,Fitness/Sports/Outdoors,3D sand printing and nanotechnology to improve beach tennis,,,,,,1,200000,15.0,1333333,,,1,200000.00,15.00,,João Appolinário
8,CatMake,2,411,3-Oct-2023,12-Dec-2023,10-Oct-2023,Beauty/Fashion,accessible beauty solutions,,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,Luiza Trajano
8,XôXuca,2,412,3-Oct-2023,12-Dec-2023,10-Oct-2023,Food and Beverage,"healthy, natural, and tasty snacks",,,,,,1,100000,25.0,400000,,,1,100000.00,25.00,,Camila Farani
8,Titibum,3,413,3-Oct-2023,12-Dec-2023,17-Oct-2023,Lifestyle/Home,"stylish, comfortable, and functional baby carriers",,,,,,1,150000,25.0,600000,,,1,150000.00,25.00,,Luiza Trajano
8,Begin,3,414,3-Oct-2023,12-Dec-2023,17-Oct-2023,Technology/Software,"fintech/edtech platform that helps young people and their families plan, save, and invest",,,,,,1,250000,15.0,1666667,,,1,250000.00,15.00,,Rodrigo Macedo
8,TechGirls,3,415,3-Oct-2023,12-Dec-2023,17-Oct-2023,Technology/Software,offering programming courses exclusively for women,,,,,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Camila Farani
8,EPSSul,3,416,3-Oct-2023,12-Dec-2023,17-Oct-2023,Health/Wellness,Expanded Polystyrene (EPS) products like medicines and food,,,,,,0,,,,,,,,,,
8,Maturi,4,417,3-Oct-2023,12-Dec-2023,24-Oct-2023,Technology/Software,"digital platform and app designed for the 50+ audience, offering content",,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,Luiza Trajano
8,Economizare,4,418,3-Oct-2023,12-Dec-2023,24-Oct-2023,Technology/Software,financial education platform that uses gamification to teach people about personal finance,,,,,,1,150000,15.0,1000000,,,1,150000.00,15.00,,Rodrigo Macedo
8,SmartTourBrasil,4,419,3-Oct-2023,12-Dec-2023,24-Oct-2023,Technology/Software,managing and selling tours and touristic activities for destinations and operators,,,,,,0,,,,,,,,,,
8,EspaçoNotMeat,4,420,3-Oct-2023,12-Dec-2023,24-Oct-2023,Food and Beverage,"plant-based butcher shop and deli, offering a wide variety of vegan ""meats""",,,,,,1,200000,25.0,800000,,,1,200000.00,25.00,,Camila Farani
8,Fabenne,5,421,3-Oct-2023,12-Dec-2023,31-Oct-2023,Beauty/Fashion,"high-performance, vegan, and cruelty-free dermocosmetic skincare products",,,,,,1,200000,15.0,1333333,,,1,200000.00,15.00,,Luiza Trajano
8,NoarCloud,5,422,3-Oct-2023,12-Dec-2023,31-Oct-2023,Technology/Software,offering a cloud-based management platform (ERP),,,,,,0,,,,,,,,,,
8,Bunker,5,423,3-Oct-2023,12-Dec-2023,31-Oct-2023,Technology/Software,digital platform for storing and organizing important personal and family documents,,,,,,0,,,,,,,,,,
8,Ride2Play,5,424,3-Oct-2023,12-Dec-2023,31-Oct-2023,Technology/Software,connects independent drivers with families for safe and reliable school transportation,,,,,,1,500000,15.0,3333333,,,2,250000.00,7.50,,"João Appolinário, Ronaldo Nazário"
8,Bensá,6,425,3-Oct-2023,12-Dec-2023,7-Nov-2023,Food and Beverage,"producing healthy, plant-based sandwich spreads",,,,,,1,150000,15.0,1000000,,,1,150000.00,15.00,,Camila Farani
8,LaJoelheria,6,426,3-Oct-2023,12-Dec-2023,7-Nov-2023,Lifestyle/Home,"jewelry brand with a strong social impact, employing and training women",,,,,,1,100000,20.0,500000,,,1,100000.00,20.00,,Camila Farani
8,TubarãoSolar,6,427,3-Oct-2023,12-Dec-2023,7-Nov-2023,Lifestyle/Home,"subscription service for solar energy, allowing customers to save on their electricity bills",,,,,,0,,,,,,,,,,
8,Pipooh,6,428,3-Oct-2023,12-Dec-2023,7-Nov-2023,Technology/Software,potty-training device for toddlers that uses sensors and an app to track,,,,,,0,,,,,,,,,,
8,VazaNada,7,429,3-Oct-2023,12-Dec-2023,14-Nov-2023,Health/Wellness,menstrual panty designed to be a sustainable and reliable alternative to pads,,,,,,0,,,,,,,,,,
8,Foodz,7,430,3-Oct-2023,12-Dec-2023,14-Nov-2023,Food and Beverage,social network and discovery app focused exclusively on food,,,,,,0,,,,,,,,,,
8,SDWForAll,7,431,3-Oct-2023,12-Dec-2023,14-Nov-2023,Technology/Software,providing a Satellite-Derived Bathymetry (SDB) system,,,,,,0,,,,,,,,,,
8,HigherBridgeMethodology,7,432,3-Oct-2023,12-Dec-2023,14-Nov-2023,Technology/Software,online platform offering a methodology and tools to help companies measure and improve employee engagement,,,,,,0,,,,,,,,,,
